시군구코드,법정동코드,행정동코드,시도명,시군구명,법정동명,행정동명,적용시작일,적용만료일,lat,lng
11110,15500,615,서울특별시,종로구,관수동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,12400,615,서울특별시,종로구,수송동,종로1.2.3.4가동,19981201,99991231,37.5962736,127.1419836
11110,15600,615,서울특별시,종로구,종로3가,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,15100,615,서울특별시,종로구,묘동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,15000,615,서울특별시,종로구,훈정동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,15900,615,서울특별시,종로구,원남동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,13800,615,서울특별시,종로구,종로2가,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,12300,615,서울특별시,종로구,서린동,종로1.2.3.4가동,19981201,99991231,37.5962736,127.1419836
11110,13600,615,서울특별시,종로구,인사동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,13500,615,서울특별시,종로구,관철동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,12200,615,서울특별시,종로구,청진동,종로1.2.3.4가동,19981201,99991231,37.5962736,127.1419836
11110,13400,615,서울특별시,종로구,경운동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,13300,615,서울특별시,종로구,익선동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11110,12700,615,서울특별시,종로구,공평동,종로1.2.3.4가동,19981201,99991231,37.5744505,126.9903077
11410,10700,520,서울특별시,서대문구,옥천동,천연동,19981001,99991231,37.571144,126.958949
11410,10700,0,서울특별시,서대문구,옥천동,,19981001,99991231,37.5962736,127.1419836
11410,10600,520,서울특별시,서대문구,천연동,천연동,19981001,99991231,37.571144,126.958949
11410,10800,520,서울특별시,서대문구,영천동,천연동,19981001,99991231,37.571144,126.958949
11410,10900,520,서울특별시,서대문구,현저동,천연동,19981001,99991231,37.571144,126.958949
11410,10600,0,서울특별시,서대문구,천연동,,19981001,99991231,37.5962736,127.1419836
11410,10800,0,서울특별시,서대문구,영천동,,19981001,99991231,37.5962736,127.1419836
11410,10500,520,서울특별시,서대문구,냉천동,천연동,19981001,99991231,37.571144,126.958949
11410,10500,0,서울특별시,서대문구,냉천동,,19981001,99991231,37.5962736,127.1419836
11305,10100,565,서울특별시,강북구,미아동,미아제6.7동,19980928,20080629,37.5962736,127.1419836
11140,12200,0,서울특별시,중구,회현동2가,,19980914,99991231,37.5962736,127.1419836
11140,12100,0,서울특별시,중구,회현동1가,,19980914,99991231,37.5962736,127.1419836
11140,11200,540,서울특별시,중구,남창동,회현동,19980914,99991231,37.5574536,126.9784157
11140,16800,540,서울특별시,중구,순화동,회현동,19980914,99991231,37.5962736,127.1419836
11140,11200,0,서울특별시,중구,남창동,,19980914,99991231,37.55771,126.97753
11140,11600,540,서울특별시,중구,남대문로3가,회현동,19980914,99991231,37.5962736,127.1419836
11140,12100,540,서울특별시,중구,회현동1가,회현동,19980914,99991231,37.557318,126.97929
11140,12400,540,서울특별시,중구,충무로1가,회현동,19980914,99991231,37.5962736,127.1419836
11140,13300,590,서울특별시,중구,충무로5가,광희동,19980914,99991231,37.5962736,127.1419836
11140,13200,590,서울특별시,중구,충무로4가,광희동,19980914,99991231,37.5962736,127.1419836
11140,13400,590,서울특별시,중구,인현동2가,광희동,19980914,99991231,37.5962736,127.1419836
11140,10700,550,서울특별시,중구,삼각동,명동,19980914,99991231,37.56315875,126.98715557766286
11140,12300,540,서울특별시,중구,회현동3가,회현동,19980914,20020101,37.5962736,127.1419836
11140,14200,550,서울특별시,중구,예장동,명동,19980914,99991231,37.5643024,126.9908869493589
11140,13100,550,서울특별시,중구,저동1가,명동,19980914,99991231,37.5608977,126.9863762
11140,12900,550,서울특별시,중구,남산동2가,명동,19980914,99991231,37.5608977,126.9863762
11140,12800,550,서울특별시,중구,남산동1가,명동,19980914,99991231,37.5608977,126.9863762
11140,12700,550,서울특별시,중구,명동2가,명동,19980914,99991231,37.5608977,126.9863762
11140,10800,550,서울특별시,중구,수하동,명동,19980914,99991231,37.5608977,126.9863762
11140,11900,540,서울특별시,중구,봉래동1가,회현동,19980914,99991231,37.557318,126.97929
11140,14900,0,서울특별시,중구,을지로7가,,19980914,99991231,37.5962736,127.1419836
11140,10300,550,서울특별시,중구,태평로1가,명동,19980914,99991231,37.56315875,126.98715557766286
11140,12500,0,서울특별시,중구,충무로2가,,19980914,99991231,37.5962736,127.1419836
11140,12400,0,서울특별시,중구,충무로1가,,19980914,99991231,37.5962736,127.1419836
11140,10200,550,서울특별시,중구,다동,명동,19980914,99991231,37.56315875,126.98715557766286
11140,10100,550,서울특별시,중구,무교동,명동,19980914,99991231,37.56315875,126.98715557766286
